id,slug,url,titulo,enunciado,temas,dificuldade,tema_principal,has_image
1157,online-majority-element-in-subarray,https://leetcode.com/problems/online-majority-element-in-subarray/,Online Majority Element In Subarray,"Design a data structure that efficiently finds the  majority element  of a given subarray. The  majority element  of a subarray is an element that occurs  threshold  times or more in the subarray. Implementing the  MajorityChecker  class: MajorityChecker(int[] arr)  Initializes the instance of the class with the given array  arr . int query(int left, int right, int threshold)  returns the element in the subarray  arr[left...right]  that occurs at least  threshold  times, or  -1  if no such element exists.   Example 1: Input [""MajorityChecker"", ""query"", ""query"", ""query""] [[[1, 1, 2, 2, 1, 1]], [0, 5, 4], [0, 3, 3], [2, 3, 2]] Output [null, 1, -1, 2] Explanation MajorityChecker majorityChecker = new MajorityChecker([1, 1, 2, 2, 1, 1]); majorityChecker.query(0, 5, 4); // return 1 majorityChecker.query(0, 3, 3); // return -1 majorityChecker.query(2, 3, 2); // return 2   Constraints: 1 <= arr.length <= 2 * 10 4 1 <= arr[i] <= 2 * 10 4 0 <= left <= right < arr.length threshold <= right - left + 1 2 * threshold > right - left + 1 At most  10 4  calls will be made to  query .","['Array', 'Binary Search', 'Design', 'Binary Indexed Tree', 'Segment Tree']",Difícil,Array,False
1178,number-of-valid-words-for-each-puzzle,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle/,Number of Valid Words for Each Puzzle,"With respect to a given  puzzle  string, a  word  is  valid  if both the following conditions are satisfied: word  contains the first letter of  puzzle . For each letter in  word , that letter is in  puzzle . 	 For example, if the puzzle is  ""abcdefg"" , then valid words are  ""faced"" ,  ""cabbage"" , and  ""baggage"" , while invalid words are  ""beefed""  (does not include  'a' ) and  ""based""  (includes  's'  which is not in the puzzle). Return  an array  answer , where  answer[i]  is the number of words in the given word list  words  that is valid with respect to the puzzle  puzzles[i] .   Example 1: Input:  words = [""aaaa"",""asas"",""able"",""ability"",""actt"",""actor"",""access""], puzzles = [""aboveyz"",""abrodyz"",""abslute"",""absoryz"",""actresz"",""gaswxyz""] Output:  [1,1,3,2,4,0] Explanation:   1 valid word for ""aboveyz"" : ""aaaa""  1 valid word for ""abrodyz"" : ""aaaa"" 3 valid words for ""abslute"" : ""aaaa"", ""asas"", ""able"" 2 valid words for ""absoryz"" : ""aaaa"", ""asas"" 4 valid words for ""actresz"" : ""aaaa"", ""asas"", ""actt"", ""access"" There are no valid words for ""gaswxyz"" cause none of the words in the list contains letter 'g'. Example 2: Input:  words = [""apple"",""pleas"",""please""], puzzles = [""aelwxyz"",""aelpxyz"",""aelpsxy"",""saelpxy"",""xaelpsy""] Output:  [0,1,3,2,0]   Constraints: 1 <= words.length <= 10 5 4 <= words[i].length <= 50 1 <= puzzles.length <= 10 4 puzzles[i].length == 7 words[i]  and  puzzles[i]  consist of lowercase English letters. Each  puzzles[i]  does not contain repeated characters.","['Array', 'Hash Table', 'String', 'Bit Manipulation', 'Trie']",Difícil,Array,False
1354,construct-target-array-with-multiple-sums,https://leetcode.com/problems/construct-target-array-with-multiple-sums/,Construct Target Array With Multiple Sums,"You are given an array  target  of n integers. From a starting array  arr  consisting of  n  1's, you may perform the following procedure : let  x  be the sum of all elements currently in your array. choose index  i , such that  0 <= i < n  and set the value of  arr  at index  i  to  x . You may repeat this procedure as many times as needed. Return  true   if it is possible to construct the   target   array from   arr , otherwise, return   false .   Example 1: Input:  target = [9,3,5] Output:  true Explanation:  Start with arr = [1, 1, 1]  [1, 1, 1], sum = 3 choose index 1 [1, 3, 1], sum = 5 choose index 2 [1, 3, 5], sum = 9 choose index 0 [9, 3, 5] Done Example 2: Input:  target = [1,1,1,2] Output:  false Explanation:  Impossible to create target array from [1,1,1,1]. Example 3: Input:  target = [8,5] Output:  true   Constraints: n == target.length 1 <= n <= 5 * 10 4 1 <= target[i] <= 10 9","['Array', 'Heap (Priority Queue)']",Difícil,Array,False
1799,maximize-score-after-n-operations,https://leetcode.com/problems/maximize-score-after-n-operations/,Maximize Score After N Operations,"You are given  nums , an array of positive integers of size  2 * n . You must perform  n  operations on this array. In the  i th  operation  (1-indexed) , you will: Choose two elements,  x  and  y . Receive a score of  i * gcd(x, y) . Remove  x  and  y  from  nums . Return  the maximum score you can receive after performing  n  operations. The function  gcd(x, y)  is the greatest common divisor of  x  and  y .   Example 1: Input:  nums = [1,2] Output:  1 Explanation:  The optimal choice of operations is: (1 * gcd(1, 2)) = 1 Example 2: Input:  nums = [3,4,6,8] Output:  11 Explanation:  The optimal choice of operations is: (1 * gcd(3, 6)) + (2 * gcd(4, 8)) = 3 + 8 = 11 Example 3: Input:  nums = [1,2,3,4,5,6] Output:  14 Explanation:  The optimal choice of operations is: (1 * gcd(1, 5)) + (2 * gcd(2, 4)) + (3 * gcd(3, 6)) = 1 + 4 + 9 = 14   Constraints: 1 <= n <= 7 nums.length == 2 * n 1 <= nums[i] <= 10 6","['Array', 'Math', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Number Theory', 'Bitmask']",Difícil,Array,False
3045,count-prefix-and-suffix-pairs-ii,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii/,Count Prefix and Suffix Pairs II,"You are given a  0-indexed  string array  words . Let's define a  boolean  function  isPrefixAndSuffix  that takes two strings,  str1  and  str2 : isPrefixAndSuffix(str1, str2)  returns  true  if  str1  is  both  a  prefix  and a  suffix  of  str2 , and  false  otherwise. For example,  isPrefixAndSuffix(""aba"", ""ababa"")  is  true  because  ""aba""  is a prefix of  ""ababa""  and also a suffix, but  isPrefixAndSuffix(""abc"", ""abcd"")  is  false . Return  an integer denoting the  number  of index pairs  (i ,  j)  such that  i < j , and  isPrefixAndSuffix(words[i], words[j])  is  true .   Example 1: Input:  words = [""a"",""aba"",""ababa"",""aa""] Output:  4 Explanation:  In this example, the counted index pairs are: i = 0 and j = 1 because isPrefixAndSuffix(""a"", ""aba"") is true. i = 0 and j = 2 because isPrefixAndSuffix(""a"", ""ababa"") is true. i = 0 and j = 3 because isPrefixAndSuffix(""a"", ""aa"") is true. i = 1 and j = 2 because isPrefixAndSuffix(""aba"", ""ababa"") is true. Therefore, the answer is 4. Example 2: Input:  words = [""pa"",""papa"",""ma"",""mama""] Output:  2 Explanation:  In this example, the counted index pairs are: i = 0 and j = 1 because isPrefixAndSuffix(""pa"", ""papa"") is true. i = 2 and j = 3 because isPrefixAndSuffix(""ma"", ""mama"") is true. Therefore, the answer is 2.   Example 3: Input:  words = [""abab"",""ab""] Output:  0 Explanation:  In this example, the only valid index pair is i = 0 and j = 1, and isPrefixAndSuffix(""abab"", ""ab"") is false. Therefore, the answer is 0.   Constraints: 1 <= words.length <= 10 5 1 <= words[i].length <= 10 5 words[i]  consists only of lowercase English letters. The sum of the lengths of all  words[i]  does not exceed  5 * 10 5 .","['Array', 'String', 'Trie', 'Rolling Hash', 'String Matching', 'Hash Function']",Difícil,Array,False
3525,find-x-value-of-array-ii,https://leetcode.com/problems/find-x-value-of-array-ii/,Find X Value of Array II,"You are given an array of  positive  integers  nums  and a  positive  integer  k . You are also given a 2D array  queries , where  queries[i] = [index i , value i , start i , x i ] . You are allowed to perform an operation  once  on  nums , where you can remove any  suffix  from  nums  such that  nums  remains  non-empty . The  x-value  of  nums   for a given   x  is defined as the number of ways to perform this operation so that the  product  of the remaining elements leaves a  remainder  of  x   modulo   k . For each query in  queries  you need to determine the  x-value  of  nums  for  x i  after performing the following actions: Update  nums[index i ]  to  value i . Only this step persists for the rest of the queries. Remove  the prefix  nums[0..(start i  - 1)]  (where  nums[0..(-1)]  will be used to represent the  empty  prefix). Return an array  result  of size  queries.length  where  result[i]  is the answer for the  i th  query. A  prefix  of an array is a  subarray  that starts from the beginning of the array and extends to any point within it. A  suffix  of an array is a  subarray  that starts at any point within the array and extends to the end of the array. Note  that the prefix and suffix to be chosen for the operation can be  empty . Note  that x-value has a  different  definition in this version.   Example 1: Input:   nums = [1,2,3,4,5], k = 3, queries = [[2,2,0,2],[3,3,3,0],[0,1,0,1]] Output:   [2,2,2] Explanation: For query 0,  nums  becomes  [1, 2, 2, 4, 5] , and the empty prefix  must  be removed. The possible operations are: 	 Remove the suffix  [2, 4, 5] .  nums  becomes  [1, 2] . Remove the empty suffix.  nums  becomes  [1, 2, 2, 4, 5]  with a product 80, which gives remainder 2 when divided by 3. For query 1,  nums  becomes  [1, 2, 2, 3, 5] , and the prefix  [1, 2, 2]   must  be removed. The possible operations are: 	 Remove the empty suffix.  nums  becomes  [3, 5] . Remove the suffix  [5] .  nums  becomes  [3] . For query 2,  nums  becomes  [1, 2, 2, 3, 5] , and the empty prefix  must  be removed. The possible operations are: 	 Remove the suffix  [2, 2, 3, 5] .  nums  becomes  [1] . Remove the suffix  [3, 5] .  nums  becomes  [1, 2, 2] . Example 2: Input:   nums = [1,2,4,8,16,32], k = 4, queries = [[0,2,0,2],[0,2,0,1]] Output:   [1,0] Explanation: For query 0,  nums  becomes  [2, 2, 4, 8, 16, 32] . The only possible operation is: 	 Remove the suffix  [2, 4, 8, 16, 32] . For query 1,  nums  becomes  [2, 2, 4, 8, 16, 32] . There is no possible way to perform the operation. Example 3: Input:   nums = [1,1,2,1,1], k = 2, queries = [[2,1,0,1]] Output:   [5]   Constraints: 1 <= nums[i] <= 10 9 1 <= nums.length <= 10 5 1 <= k <= 5 1 <= queries.length <= 2 * 10 4 queries[i] == [index i , value i , start i , x i ] 0 <= index i  <= nums.length - 1 1 <= value i  <= 10 9 0 <= start i  <= nums.length - 1 0 <= x i  <= k - 1","['Array', 'Math', 'Segment Tree']",Difícil,Array,False
3533,concatenated-divisibility,https://leetcode.com/problems/concatenated-divisibility/,Concatenated Divisibility,"You are given an array of positive integers  nums  and a positive integer  k . A  permutation  of  nums  is said to form a  divisible concatenation  if, when you  concatenate   the decimal representations  of the numbers in the order specified by the permutation, the resulting number is  divisible by   k . Return the  lexicographically smallest  permutation (when considered as a list of integers) that forms a  divisible concatenation . If no such permutation exists, return an empty list.   Example 1: Input:   nums = [3,12,45], k = 5 Output:   [3,12,45] Explanation: Permutation Concatenated Value Divisible by 5 [3, 12, 45] 31245 Yes [3, 45, 12] 34512 No [12, 3, 45] 12345 Yes [12, 45, 3] 12453 No [45, 3, 12] 45312 No [45, 12, 3] 45123 No The lexicographically smallest permutation that forms a divisible concatenation is  [3,12,45] . Example 2: Input:   nums = [10,5], k = 10 Output:   [5,10] Explanation: Permutation Concatenated Value Divisible by 10 [5, 10] 510 Yes [10, 5] 105 No The lexicographically smallest permutation that forms a divisible concatenation is  [5,10] . Example 3: Input:   nums = [1,2,3], k = 5 Output:   [] Explanation: Since no permutation of  nums  forms a valid divisible concatenation, return an empty list.   Constraints: 1 <= nums.length <= 13 1 <= nums[i] <= 10 5 1 <= k <= 100","['Array', 'Dynamic Programming', 'Bit Manipulation', 'Bitmask']",Difícil,Array,False
3538,merge-operations-for-minimum-travel-time,https://leetcode.com/problems/merge-operations-for-minimum-travel-time/,Merge Operations for Minimum Travel Time,"You are given a straight road of length  l  km, an integer  n , an integer  k ,  and  two  integer arrays,  position  and  time , each of length  n . The array  position  lists the positions (in km) of signs in  strictly  increasing order (with  position[0] = 0  and  position[n - 1] = l ). Each  time[i]  represents the time (in minutes) required to travel 1 km between  position[i]  and  position[i + 1] . You  must  perform  exactly   k  merge operations. In one merge, you can choose any  two  adjacent signs at indices  i  and  i + 1  (with  i > 0  and  i + 1 < n ) and: Update the sign at index  i + 1  so that its time becomes  time[i] + time[i + 1] . Remove the sign at index  i . Return the  minimum   total   travel time  (in minutes) to travel from 0 to  l  after  exactly   k  merges.   Example 1: Input:   l = 10, n = 4, k = 1, position = [0,3,8,10], time = [5,8,3,6] Output:   62 Explanation: Merge the signs at indices 1 and 2. Remove the sign at index 1, and change the time at index 2 to  8 + 3 = 11 . After the merge: 	 position  array:  [0, 8, 10] time  array:  [5, 11, 6]   Segment Distance (km) Time per km (min) Segment Travel Time (min) 0 → 8 8 5 8 × 5 = 40 8 → 10 2 11 2 × 11 = 22 Total Travel Time:  40 + 22 = 62 , which is the minimum possible time after exactly 1 merge. Example 2: Input:   l = 5, n = 5, k = 1, position = [0,1,2,3,5], time = [8,3,9,3,3] Output:   34 Explanation: Merge the signs at indices 1 and 2. Remove the sign at index 1, and change the time at index 2 to  3 + 9 = 12 . After the merge: 	 position  array:  [0, 2, 3, 5] time  array:  [8, 12, 3, 3]   Segment Distance (km) Time per km (min) Segment Travel Time (min) 0 → 2 2 8 2 × 8 = 16 2 → 3 1 12 1 × 12 = 12 3 → 5 2 3 2 × 3 = 6 Total Travel Time:  16 + 12 + 6 = 34 ,  which is the minimum possible time after exactly 1 merge.   Constraints: 1 <= l <= 10 5 2 <= n <= min(l + 1, 50) 0 <= k <= min(n - 2, 10) position.length == n position[0] = 0  and  position[n - 1] = l position  is sorted in strictly increasing order. time.length == n 1 <= time[i] <= 100​ 1 <= sum(time) <= 100 ​​​​​​","['Array', 'Dynamic Programming', 'Prefix Sum']",Difícil,Array,False
3539,find-sum-of-array-product-of-magical-sequences,https://leetcode.com/problems/find-sum-of-array-product-of-magical-sequences/,Find Sum of Array Product of Magical Sequences,"You are given two integers,  m  and  k , and an integer array  nums . A sequence of integers  seq  is called  magical  if: seq  has a size of  m . 0 <= seq[i] < nums.length The  binary representation  of  2 seq[0]  + 2 seq[1]  + ... + 2 seq[m - 1]  has  k   set bits . The  array product  of this sequence is defined as  prod(seq) = (nums[seq[0]] * nums[seq[1]] * ... * nums[seq[m - 1]]) . Return the  sum  of the  array products  for all valid  magical  sequences. Since the answer may be large, return it  modulo   10 9  + 7 . A  set bit  refers to a bit in the binary representation of a number that has a value of 1.   Example 1: Input:   m = 5, k = 5, nums = [1,10,100,10000,1000000] Output:   991600007 Explanation: All permutations of  [0, 1, 2, 3, 4]  are magical sequences, each with an array product of 10 13 . Example 2: Input:   m = 2, k = 2, nums = [5,4,3,2,1] Output:   170 Explanation: The magical sequences are  [0, 1] ,  [0, 2] ,  [0, 3] ,  [0, 4] ,  [1, 0] ,  [1, 2] ,  [1, 3] ,  [1, 4] ,  [2, 0] ,  [2, 1] ,  [2, 3] ,  [2, 4] ,  [3, 0] ,  [3, 1] ,  [3, 2] ,  [3, 4] ,  [4, 0] ,  [4, 1] ,  [4, 2] , and  [4, 3] . Example 3: Input:   m = 1, k = 1, nums = [28] Output:   28 Explanation: The only magical sequence is  [0] .   Constraints: 1 <= k <= m <= 30 1 <= nums.length <= 50 1 <= nums[i] <= 10 8","['Array', 'Math', 'Dynamic Programming', 'Bit Manipulation', 'Combinatorics', 'Bitmask']",Difícil,Array,False
3569,maximize-count-of-distinct-primes-after-split,https://leetcode.com/problems/maximize-count-of-distinct-primes-after-split/,Maximize Count of Distinct Primes After Split,"You are given an integer array  nums  having length  n  and a 2D integer array  queries  where  queries[i] = [idx, val] . For each query: Update  nums[idx] = val . Choose an integer  k  with  1 <= k < n  to split the array into the non-empty prefix  nums[0..k-1]  and suffix  nums[k..n-1]  such that the sum of the counts of  distinct   prime  values in each part is  maximum . Note:  The changes made to the array in one query persist into the next query. Return an array containing the result for each query, in the order they are given.   Example 1: Input:   nums = [2,1,3,1,2], queries = [[1,2],[3,3]] Output:   [3,4] Explanation: Initially  nums = [2, 1, 3, 1, 2] . After 1 st  query,  nums = [2, 2, 3, 1, 2] . Split  nums  into  [2]  and  [2, 3, 1, 2] .  [2]  consists of 1 distinct prime and  [2, 3, 1, 2]  consists of 2 distinct primes. Hence, the answer for this query is  1 + 2 = 3 . After 2 nd  query,  nums = [2, 2, 3, 3, 2] . Split  nums  into  [2, 2, 3]  and  [3, 2]  with an answer of  2 + 2 = 4 . The output is  [3, 4] . Example 2: Input:   nums = [2,1,4], queries = [[0,1]] Output:   [0] Explanation: Initially  nums = [2, 1, 4] . After 1 st  query,  nums = [1, 1, 4] . There are no prime numbers in  nums , hence the answer for this query is 0. The output is  [0] .   Constraints: 2 <= n == nums.length <= 5 * 10 4 1 <= queries.length <= 5 * 10 4 1 <= nums[i] <= 10 5 0 <= queries[i][0] < nums.length 1 <= queries[i][1] <= 10 5","['Array', 'Math', 'Segment Tree', 'Number Theory']",Difícil,Array,False
